timestamps population node_ids
37000.499999909865 LUT_TOY 0
36852.09999990124 LUT_TOY 0
36774.1999998967 LUT_TOY 0
36678.19999989111 LUT_TOY 0
36425.399999876405 LUT_TOY 0
37949.79999996513 LUT_TOY 0
36230.899999865076 LUT_TOY 0
35920.199999846984 LUT_TOY 0
35726.499999835716 LUT_TOY 0
35660.499999831874 LUT_TOY 0
35612.899999829104 LUT_TOY 0
35249.899999807974 LUT_TOY 0
35231.499999806896 LUT_TOY 0
35033.599999795384 LUT_TOY 0
35000.499999793465 LUT_TOY 0
34927.89999978923 LUT_TOY 0
34914.29999978844 LUT_TOY 0
36000.499999851665 LUT_TOY 0
37994.29999996772 LUT_TOY 0
38299.799999985495 LUT_TOY 0
38368.99999998953 LUT_TOY 0
43059.70000026257 LUT_TOY 0
43022.00000026037 LUT_TOY 0
43000.50000025912 LUT_TOY 0
42923.600000254635 LUT_TOY 0
42846.40000025015 LUT_TOY 0
42426.500000225715 LUT_TOY 0
42255.800000215764 LUT_TOY 0
42000.50000020091 LUT_TOY 0
41758.90000018685 LUT_TOY 0
41495.2000001715 LUT_TOY 0
41163.7000001522 LUT_TOY 0
41000.5000001427 LUT_TOY 0
40665.700000123215 LUT_TOY 0
40650.70000012234 LUT_TOY 0
40232.30000009799 LUT_TOY 0
40000.500000084496 LUT_TOY 0
39857.500000076165 LUT_TOY 0
39441.100000051934 LUT_TOY 0
39000.50000002629 LUT_TOY 0
38906.90000002084 LUT_TOY 0
38866.800000018506 LUT_TOY 0
38765.400000012596 LUT_TOY 0
38418.09999999239 LUT_TOY 0
51940.90000077952 LUT_TOY 0
34773.89999978027 LUT_TOY 0
52000.50000078299 LUT_TOY 0
52460.60000080977 LUT_TOY 0
58602.000001167246 LUT_TOY 0
58585.50000116629 LUT_TOY 0
58507.300001161726 LUT_TOY 0
58461.70000115907 LUT_TOY 0
58364.00000115339 LUT_TOY 0
58349.90000115258 LUT_TOY 0
58231.00000114566 LUT_TOY 0
58209.500001144406 LUT_TOY 0
58174.20000114234 LUT_TOY 0
58039.80000113452 LUT_TOY 0
58650.100001170045 LUT_TOY 0
58000.500001132226 LUT_TOY 0
57749.60000111763 LUT_TOY 0
57673.90000111322 LUT_TOY 0
57663.500001112625 LUT_TOY 0
57607.500001109365 LUT_TOY 0
57588.10000110822 LUT_TOY 0
57547.60000110588 LUT_TOY 0
57532.50000110499 LUT_TOY 0
57482.50000110207 LUT_TOY 0
57436.500001099404 LUT_TOY 0
57256.40000108893 LUT_TOY 0
57975.600001130784 LUT_TOY 0
57179.60000108445 LUT_TOY 0
58704.90000117324 LUT_TOY 0
58903.5000011848 LUT_TOY 0
60319.90000126723 LUT_TOY 0
60254.800001263444 LUT_TOY 0
60103.50000125464 LUT_TOY 0
60025.300001250085 LUT_TOY 0
60000.50000124865 LUT_TOY 0
59938.00000124501 LUT_TOY 0
59917.70000124383 LUT_TOY 0
59880.30000124165 LUT_TOY 0
59867.20000124089 LUT_TOY 0
59806.20000123733 LUT_TOY 0
58879.40000118339 LUT_TOY 0
59732.00000123303 LUT_TOY 0
59647.500001228094 LUT_TOY 0
59525.10000122098 LUT_TOY 0
59496.10000121929 LUT_TOY 0
59478.500001218265 LUT_TOY 0
59462.0000012173 LUT_TOY 0
59353.600001210994 LUT_TOY 0
59208.00000120253 LUT_TOY 0
59125.100001197694 LUT_TOY 0
59100.60000119628 LUT_TOY 0
59000.50000119044 LUT_TOY 0
59706.500001231536 LUT_TOY 0
57000.500001074026 LUT_TOY 0
56554.70000104808 LUT_TOY 0
56531.90000104675 LUT_TOY 0
54086.00000090439 LUT_TOY 0
54000.5000008994 LUT_TOY 0
53919.60000089469 LUT_TOY 0
53897.90000089343 LUT_TOY 0
53838.30000088996 LUT_TOY 0
53773.30000088618 LUT_TOY 0
53730.7000008837 LUT_TOY 0
53715.700000882825 LUT_TOY 0
53429.60000086617 LUT_TOY 0
53250.70000085576 LUT_TOY 0
54203.2000009112 LUT_TOY 0
53227.4000008544 LUT_TOY 0
53134.200000848985 LUT_TOY 0
